,Assembler,Reference,Contig,Contig Length,Phred Quality Score
60,MEGAHIT,Bacillus_subtilis,k141_111,2446,60
61,MEGAHIT,Bacillus_subtilis,k141_519,34572,40.61603249608109
62,MEGAHIT,Bacillus_subtilis,k141_45,5875,60
63,MEGAHIT,Bacillus_subtilis,k141_743,14490,60
64,MEGAHIT,Bacillus_subtilis,k141_744,1641,60
65,MEGAHIT,Bacillus_subtilis,k141_340,10743,60
66,MEGAHIT,Bacillus_subtilis,k141_219,29488,60
67,MEGAHIT,Bacillus_subtilis,k141_520,7991,39.026011306664486
68,MEGAHIT,Bacillus_subtilis,k141_521,1895,60
69,MEGAHIT,Bacillus_subtilis,k141_342,4504,36.5359838184319
70,MEGAHIT,Bacillus_subtilis,k141_114,14388,60
71,MEGAHIT,Bacillus_subtilis,k141_225,7169,60
72,MEGAHIT,Bacillus_subtilis,k141_227,2663,34.253711664389314
73,MEGAHIT,Bacillus_subtilis,k141_346,8699,60
74,MEGAHIT,Bacillus_subtilis,k141_46,21717,60
75,MEGAHIT,Bacillus_subtilis,k141_47,2724,60
76,MEGAHIT,Bacillus_subtilis,k141_750,18981,60
77,MEGAHIT,Bacillus_subtilis,k141_230,8153,60
78,MEGAHIT,Bacillus_subtilis,k141_758,7870,60
79,MEGAHIT,Bacillus_subtilis,k141_236,2157,60
80,MEGAHIT,Bacillus_subtilis,k141_763,14901,60
81,MEGAHIT,Bacillus_subtilis,k141_526,40906,60
82,MEGAHIT,Bacillus_subtilis,k141_50,29593,23.18900649753694
83,MEGAHIT,Bacillus_subtilis,k141_52,5480,60
84,MEGAHIT,Bacillus_subtilis,k141_768,23012,60
85,MEGAHIT,Bacillus_subtilis,k141_527,33737,39.2604646981287
86,MEGAHIT,Bacillus_subtilis,k141_769,10755,34.29550423395526
87,MEGAHIT,Bacillus_subtilis,k141_348,68319,48.34541500864922
88,MEGAHIT,Bacillus_subtilis,k141_353,6782,60
89,MEGAHIT,Bacillus_subtilis,k141_53,44005,60
90,MEGAHIT,Bacillus_subtilis,k141_774,10301,40.12879387171449
91,MEGAHIT,Bacillus_subtilis,k141_54,49354,43.92292361089056
92,MEGAHIT,Bacillus_subtilis,k141_776,13845,41.412929600816796
93,MEGAHIT,Bacillus_subtilis,k141_56,9673,36.84531192109312
94,MEGAHIT,Bacillus_subtilis,k141_670,11810,60
95,MEGAHIT,Bacillus_subtilis,k141_672,3918,60
96,MEGAHIT,Bacillus_subtilis,k141_780,9661,60
97,MEGAHIT,Bacillus_subtilis,k141_781,2713,29.5632853904195
98,MEGAHIT,Bacillus_subtilis,k141_58,10803,60
99,MEGAHIT,Bacillus_subtilis,k141_245,57779,47.617700210961985
100,MEGAHIT,Bacillus_subtilis,k141_673,10066,40.02856926061331
101,MEGAHIT,Bacillus_subtilis,k141_246,6322,60
102,MEGAHIT,Bacillus_subtilis,k141_674,12347,60
103,MEGAHIT,Bacillus_subtilis,k141_247,14241,60
104,MEGAHIT,Bacillus_subtilis,k141_782,32687,60
105,MEGAHIT,Bacillus_subtilis,k141_250,5040,60
106,MEGAHIT,Bacillus_subtilis,k141_530,10148,37.053504628856444
107,MEGAHIT,Bacillus_subtilis,k141_675,19638,60
108,MEGAHIT,Bacillus_subtilis,k141_677,1990,28.217318216900328
109,MEGAHIT,Bacillus_subtilis,k141_678,6092,60
110,MEGAHIT,Bacillus_subtilis,k141_533,34898,60
111,MEGAHIT,Bacillus_subtilis,k141_534,27615,60
112,MEGAHIT,Bacillus_subtilis,k141_536,5214,10.35929789456723
113,MEGAHIT,Bacillus_subtilis,k141_68,29409,44.6848025735796
114,MEGAHIT,Bacillus_subtilis,k141_542,4231,60
115,MEGAHIT,Bacillus_subtilis,k141_73,15048,19.174073945572474
