task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
49	22/5aaa91	mapping_wf:ASSEMBLY_STATS_GLOBAL	IDBA-UD	COMPLETED	0	2022-08-24 14:34:17.659	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	19.9s	1.2s	-	113.6%	0.0%	8.4 MB	11.6 MB	54.8 MB	1009 B
37	b2/6b0bf2	postprocessing_wf:SNP_ASSESSMENT	IDBA-UD	COMPLETED	0	2022-08-24 13:54:17.454	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	43m 35s	43m 23s	-	100.4%	0.1%	136.2 MB	417.8 MB	216.4 MB	10 MB
2	37/7bd162	assembly_wf:METASPADES	SRR8073716	COMPLETED	0	2022-08-24 12:00:16.660	docker:cimendes/spades:3.15.3-1	16	3d	-	64 GB	2h 44m 3s	2h 43m 52s	-	908.2%	17.4%	21.9 GB	24.5 GB	74.6 GB	132.9 GB
50	39/b0013e	mapping_wf:FILTER_ASSEMBLY	metaSPAdes	COMPLETED	0	2022-08-24 14:44:17.707	docker:pcerqueira/bbtools:38.44	2	3d	-	8 GB	9.9s	1.8s	-	115.8%	0.1%	99.3 MB	2.6 GB	51.1 MB	46.8 MB
53	3e/a41a2c	mapping_wf:ASSEMBLY_MAPPING	metaSPAdes	COMPLETED	0	2022-08-24 14:44:47.709	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.9s	17.2s	-	893.7%	1.3%	1.6 GB	2.2 GB	217.2 MB	1.7 MB
52	66/f045b3	mapping_wf:ASSEMBLY_MAPPING_MISASSEMBLY	metaSPAdes	COMPLETED	0	2022-08-24 14:44:47.713	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.9s	16.3s	-	840.5%	1.3%	1.6 GB	2.1 GB	217.2 MB	385.3 KB
57	50/171f10	postprocessing_wf:MISASSEMBLY	metaSPAdes	COMPLETED	0	2022-08-24 14:45:17.746	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	14.8s	1s	-	123.3%	0.0%	8.9 MB	11.9 MB	14.1 MB	3 KB
43	9d/346c59	mapping_wf:READ_MAPPING	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:06:17.527	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	40m 5s	39m 34s	-	196.4%	1.8%	2.3 GB	3.8 GB	35.7 GB	15.8 GB
58	cc/2228fd	mapping_wf:ASSEMBLY_STATS_GLOBAL	GATBMiniaPipeline	COMPLETED	0	2022-08-24 14:46:17.733	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	24.9s	1.3s	-	93.0%	0.0%	55.8 MB	338.4 MB	55.8 MB	1 KB
54	bb/9ec52c	postprocessing_wf:GAP_ASSESSMENT	metaSPAdes	COMPLETED	0	2022-08-24 14:45:17.735	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 50s	1m 35s	-	97.1%	0.6%	721.5 MB	1010.1 MB	200.6 MB	55.3 KB
55	e9/60e567	mapping_wf:ASSEMBLY_STATS_MAPPING	metaSPAdes	COMPLETED	0	2022-08-24 14:45:17.740	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	3m 30s	3m 15s	-	98.6%	0.4%	570.3 MB	914.1 MB	249.2 MB	710.4 KB
8	d1/84e3e4	assembly_wf:SPADES	SRR8073716	COMPLETED	0	2022-08-24 12:00:16.665	docker:cimendes/spades:3.15.3-1	16	3d	-	64 GB	2h 49m 33s	2h 49m 23s	-	874.8%	8.5%	10.7 GB	20.5 GB	74.4 GB	217.5 GB
59	ba/6b0927	mapping_wf:FILTER_ASSEMBLY	SPAdes	COMPLETED	0	2022-08-24 14:49:47.737	docker:pcerqueira/bbtools:38.44	2	3d	-	8 GB	9.9s	1.6s	-	140.3%	0.1%	102.5 MB	2.6 GB	51.6 MB	46.3 MB
62	82/f044ee	mapping_wf:ASSEMBLY_MAPPING_MISASSEMBLY	SPAdes	COMPLETED	0	2022-08-24 14:50:17.751	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.9s	16.1s	-	808.4%	1.2%	1.6 GB	2.5 GB	216.6 MB	555.4 KB
60	7e/3cce64	mapping_wf:ASSEMBLY_MAPPING	SPAdes	COMPLETED	0	2022-08-24 14:50:17.755	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.9s	15.2s	-	801.3%	1.3%	1.6 GB	2.8 GB	216.6 MB	2.1 MB
63	85/9d62f9	postprocessing_wf:MISASSEMBLY	SPAdes	COMPLETED	0	2022-08-24 14:50:47.749	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	14.9s	2.1s	-	99.0%	0.1%	73.2 MB	356.4 MB	14.3 MB	4 KB
64	df/53f02b	postprocessing_wf:GAP_ASSESSMENT	SPAdes	COMPLETED	0	2022-08-24 14:50:47.758	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 35s	1m 20s	-	97.5%	0.5%	618.7 MB	901.5 MB	205.9 MB	109.8 KB
66	54/0c492b	mapping_wf:ASSEMBLY_STATS_MAPPING	SPAdes	COMPLETED	0	2022-08-24 14:50:47.761	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	2m 55s	2m 40s	-	97.8%	0.5%	587.5 MB	869.6 MB	254.4 MB	1.1 MB
65	d7/f5e4e7	postprocessing_wf:SNP_ASSESSMENT	SPAdes	COMPLETED	0	2022-08-24 14:50:47.754	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	10m 35s	10m 20s	-	99.8%	0.1%	138.9 MB	420.5 MB	205.9 MB	3.9 MB
61	a0/87d2ee	mapping_wf:READ_MAPPING	SPAdes	COMPLETED	0	2022-08-24 14:50:17.747	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	39m 25s	38m 57s	-	181.4%	1.7%	2.2 GB	3.7 GB	41 GB	21.2 GB
67	8f/0da0c0	mapping_wf:ASSEMBLY_STATS_GLOBAL	SPAdes	COMPLETED	0	2022-08-24 15:29:47.913	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	34.9s	1.7s	-	103.9%	0.0%	56.4 MB	339 MB	56 MB	990 B
51	2f/3278bf	mapping_wf:READ_MAPPING	metaSPAdes	COMPLETED	0	2022-08-24 14:44:47.716	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	49m 5s	48m 35s	-	184.9%	1.8%	2.3 GB	3.8 GB	41.4 GB	21.5 GB
68	5c/797b60	mapping_wf:ASSEMBLY_STATS_GLOBAL	metaSPAdes	COMPLETED	0	2022-08-24 15:33:47.929	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	24.9s	1.7s	-	101.9%	0.0%	57.1 MB	339.6 MB	55.5 MB	1014 B
56	ac/539826	postprocessing_wf:SNP_ASSESSMENT	metaSPAdes	COMPLETED	0	2022-08-24 14:45:17.728	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1h 50s	1h 36s	-	100.3%	0.1%	145.2 MB	426.5 MB	200.6 MB	12.3 MB
10	9d/3b55b8	assembly_wf:UNICYCLER	SRR8073716	COMPLETED	0	2022-08-24 12:00:16.674	docker:cimendes/unicycler:0.4.9-1	16	3d	-	64 GB	1d 14h 8m 12s	1d 14h 8m	-	211.3%	10.8%	27.1 GB	30.8 GB	214.6 GB	1.2 TB
69	19/f4c766	mapping_wf:FILTER_ASSEMBLY	Unicycler	COMPLETED	0	2022-08-26 02:08:36.883	docker:pcerqueira/bbtools:38.44	2	3d	-	8 GB	19.7s	1.4s	-	138.5%	0.1%	106.8 MB	2.6 GB	39.7 MB	35.1 MB
70	fd/431b26	report_wf:COMPILE_VERSIONS	-	FAILED	1	2022-08-26 02:08:36.889	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	19.7s	5s	-	-	-	-	-	-	-
74	e0/10cd2b	report_wf:COMPILE_VERSIONS	-	FAILED	1	2022-08-26 02:09:06.905	docker:cimendes/lmas-python-base:0.1	4	3d	-	16 GB	29.8s	5s	-	-	-	-	-	-	-
73	65/19b269	mapping_wf:ASSEMBLY_MAPPING	Unicycler	COMPLETED	0	2022-08-26 02:09:06.887	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.9s	15.1s	-	697.4%	1.9%	2.3 GB	3.2 GB	205.4 MB	1.4 MB
72	4d/b81280	mapping_wf:ASSEMBLY_MAPPING_MISASSEMBLY	Unicycler	COMPLETED	0	2022-08-26 02:09:06.892	docker:cimendes/minimap2:2.22-1	16	3d	-	64 GB	44.9s	14.2s	-	713.2%	2.1%	2.6 GB	3.6 GB	205.4 MB	337.1 KB
75	6a/e60e53	report_wf:COMPILE_VERSIONS	-	COMPLETED	0	2022-08-26 02:09:36.887	docker:cimendes/lmas-python-base:0.1	6	3d	-	24 GB	29.9s	1.3s	-	147.1%	0.0%	49.1 MB	589.9 MB	7.8 MB	693 B
79	f7/9ed9c7	postprocessing_wf:MISASSEMBLY	Unicycler	COMPLETED	0	2022-08-26 02:09:36.906	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	14.8s	2.4s	-	86.4%	0.1%	77.7 MB	360.6 MB	14.1 MB	4.6 KB
81	24/6dbb0c	postprocessing_wf:PROCESS_MISASSEMBLY	-	COMPLETED	0	2022-08-26 02:10:06.897	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	29.8s	2.1s	-	97.8%	0.1%	79.7 MB	362.7 MB	25.8 MB	3.5 MB
80	03/31c8fd	postprocessing_wf:PLOT_MISASSEMBLY	-	COMPLETED	0	2022-08-26 02:10:06.893	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	39.8s	13s	-	98.6%	0.3%	372.2 MB	653.8 MB	84 MB	62.3 MB
77	fc/5c854e	postprocessing_wf:GAP_ASSESSMENT	Unicycler	COMPLETED	0	2022-08-26 02:09:36.896	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 10s	57.7s	-	94.6%	0.3%	402.7 MB	685.3 MB	195.7 MB	93.2 KB
78	7a/2965c5	mapping_wf:ASSEMBLY_STATS_MAPPING	Unicycler	COMPLETED	0	2022-08-26 02:09:36.900	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	2m 5s	1m 54s	-	96.1%	0.3%	373.8 MB	655.9 MB	232.2 MB	519.3 KB
82	36/e9be25	postprocessing_wf:PLOT_GAP_BOXPLOT	-	COMPLETED	0	2022-08-26 02:11:06.911	docker:cimendes/lmas-python-base:0.1	2	3d	-	8 GB	1m 5s	31.9s	-	100.6%	0.1%	80.5 MB	362.4 MB	25.4 MB	3.6 MB
