task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
187	96/c8177c	SNP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:43:07.737	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	10s	3.9s	-	47.3%	0.1%	110.5 MB	391.3 MB	97.1 MB	2.3 KB
189	f4/061257	GAP_ASSESSMENT	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:43:07.729	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.9s	15.3s	-	94.5%	0.3%	401.4 MB	685.2 MB	97.1 MB	17.9 KB
74	d6/d8ae4b	READ_MAPPING	BCALM2	COMPLETED	0	2021-10-23 13:13:31.891	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	1h 30m 1s	1h 29m 58s	-	170.1%	2.2%	5.6 GB	6.7 GB	60.2 GB	42.3 GB
188	26/24cd42	ASSEMBLY_STATS_MAPPING	GATBMiniaPipeline	COMPLETED	0	2021-10-23 14:43:07.740	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	29.8s	25.3s	-	98.7%	0.2%	303.8 MB	584.8 MB	110.7 MB	252.3 KB
41	77/a5ef5b	IDBA	ERR2935805	COMPLETED	0	2021-10-23 13:02:36.764	docker:cimendes/idba:1.1.3-1	8	1d	-	32 GB	1h 41m 50s	1h 41m 45s	-	682.2%	18.9%	23.8 GB	24.7 GB	20.9 GB	5.7 GB
192	20/618860	FILTER_ASSEMBLY	IDBA-UD	COMPLETED	0	2021-10-23 14:44:27.726	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	4.9s	1.2s	-	113.0%	0.0%	12.5 MB	124.6 MB	28.4 MB	17.1 MB
191	97/261869	ASSEMBLY_STATS_GLOBAL	BCALM2	COMPLETED	0	2021-10-23 14:43:32.823	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	1m 5s	58.6s	-	93.7%	0.1%	181.5 MB	478 MB	1006.5 MB	939 B
194	99/885f25	ASSEMBLY_MAPPING	IDBA-UD	COMPLETED	0	2021-10-23 14:44:32.770	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	14.9s	11.7s	-	461.2%	0.6%	768.3 MB	1.6 GB	105.7 MB	49.9 KB
196	a6/89ffdc	MISASSEMBLY	IDBA-UD	COMPLETED	0	2021-10-23 14:44:47.753	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.9s	2.3s	-	83.9%	0.1%	76.5 MB	357.5 MB	13.7 MB	3 KB
195	80/19a634	SNP_ASSESSMENT	IDBA-UD	COMPLETED	0	2021-10-23 14:44:47.749	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	9.9s	5.6s	-	67.1%	0.1%	110.8 MB	391.6 MB	96.9 MB	30.8 KB
198	29/c99124	GAP_ASSESSMENT	IDBA-UD	COMPLETED	0	2021-10-23 14:44:47.801	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	19.8s	12.8s	-	90.9%	0.5%	584.8 MB	868.9 MB	96.9 MB	11.8 KB
197	fd/7e22fd	ASSEMBLY_STATS_MAPPING	IDBA-UD	COMPLETED	0	2021-10-23 14:44:47.805	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	34.8s	30.6s	-	99.0%	0.4%	518.3 MB	799.2 MB	114.1 MB	335.6 KB
23	d4/2d04f3	METASPADES	LHS	COMPLETED	0	2021-10-23 12:59:46.834	docker:cimendes/spades:3.15.3-1	8	1d	-	32 GB	1h 46m 19s	1h 46m 9s	-	549.3%	1.8%	4.6 GB	7.4 GB	68.6 GB	33.9 GB
199	d6/6b9664	FILTER_ASSEMBLY	metaSPAdes	COMPLETED	0	2021-10-23 14:46:07.759	docker:pcerqueira/bbtools:38.44	2	1d	-	8 GB	5s	908ms	-	121.7%	0.0%	11.4 MB	55.5 MB	17.2 MB	13.2 MB
201	5c/c5600a	ASSEMBLY_MAPPING	metaSPAdes	COMPLETED	0	2021-10-23 14:46:12.754	docker:cimendes/minimap2:2.22-1	8	1d	-	32 GB	9.9s	8.4s	-	442.5%	0.6%	820 MB	1.2 GB	101.8 MB	46.1 KB
205	89/49ba87	MISASSEMBLY	metaSPAdes	COMPLETED	0	2021-10-23 14:46:22.783	docker:cimendes/lmas-python-base:0.1	2	1d	-	8 GB	4.8s	2.3s	-	100.9%	0.1%	75.6 MB	357.5 MB	13.7 MB	2.1 KB
