,Assembler,Reference,Contig,Contig Length,Phred Quality Score
153,BCALM2,Bacillus_subtilis,136266,1456,60
154,BCALM2,Bacillus_subtilis,136364,1175,60
155,BCALM2,Bacillus_subtilis,136550,1310,60
156,BCALM2,Bacillus_subtilis,136739,1050,60
157,BCALM2,Bacillus_subtilis,137016,2628,60
158,BCALM2,Bacillus_subtilis,137028,1496,60
159,BCALM2,Bacillus_subtilis,137093,1539,60
160,BCALM2,Bacillus_subtilis,137432,2273,60
161,BCALM2,Bacillus_subtilis,137696,2191,60
162,BCALM2,Bacillus_subtilis,138041,1887,60
163,BCALM2,Bacillus_subtilis,138125,1304,60
164,BCALM2,Bacillus_subtilis,138264,1487,60
165,BCALM2,Bacillus_subtilis,138283,3581,60
166,BCALM2,Bacillus_subtilis,138328,1043,60
167,BCALM2,Bacillus_subtilis,138409,1159,60
168,BCALM2,Bacillus_subtilis,138429,1059,60
169,BCALM2,Bacillus_subtilis,138447,2012,60
170,BCALM2,Bacillus_subtilis,138546,1490,60
171,BCALM2,Bacillus_subtilis,138744,1193,60
172,BCALM2,Bacillus_subtilis,138849,2805,60
173,BCALM2,Bacillus_subtilis,139063,1214,60
174,BCALM2,Bacillus_subtilis,139071,1791,60
175,BCALM2,Bacillus_subtilis,139239,1481,60
176,BCALM2,Bacillus_subtilis,139499,1150,60
177,BCALM2,Bacillus_subtilis,139520,2761,60
178,BCALM2,Bacillus_subtilis,139528,1155,60
179,BCALM2,Bacillus_subtilis,139537,2000,60
180,BCALM2,Bacillus_subtilis,139821,1529,60
181,BCALM2,Bacillus_subtilis,139919,1856,60
182,BCALM2,Bacillus_subtilis,140058,1466,60
183,BCALM2,Bacillus_subtilis,140208,1217,60
184,BCALM2,Bacillus_subtilis,140371,3218,60
185,BCALM2,Bacillus_subtilis,140415,1605,60
186,BCALM2,Bacillus_subtilis,140588,1471,60
187,BCALM2,Bacillus_subtilis,140697,1021,60
188,BCALM2,Bacillus_subtilis,140733,1172,60
189,BCALM2,Bacillus_subtilis,140921,1889,60
190,BCALM2,Bacillus_subtilis,141188,1438,60
191,BCALM2,Bacillus_subtilis,141645,1055,60
192,BCALM2,Bacillus_subtilis,142034,1480,60
193,BCALM2,Bacillus_subtilis,142094,1145,60
194,BCALM2,Bacillus_subtilis,142105,3680,60
195,BCALM2,Bacillus_subtilis,142166,2558,60
196,BCALM2,Bacillus_subtilis,142319,1550,60
197,BCALM2,Bacillus_subtilis,142466,3523,60
198,BCALM2,Bacillus_subtilis,142532,1560,60
199,BCALM2,Bacillus_subtilis,142560,4056,60
200,BCALM2,Bacillus_subtilis,142698,2375,60
201,BCALM2,Bacillus_subtilis,142906,2030,60
202,BCALM2,Bacillus_subtilis,142937,1015,60
203,BCALM2,Bacillus_subtilis,143052,2361,60
204,BCALM2,Bacillus_subtilis,143059,1095,60
205,BCALM2,Bacillus_subtilis,143143,1502,60
206,BCALM2,Bacillus_subtilis,143274,1046,60
207,BCALM2,Bacillus_subtilis,143718,2564,60
208,BCALM2,Bacillus_subtilis,144028,1009,60
209,BCALM2,Bacillus_subtilis,144550,1735,60
210,BCALM2,Bacillus_subtilis,144655,3553,60
211,BCALM2,Bacillus_subtilis,144722,1509,60
212,BCALM2,Bacillus_subtilis,145583,1073,60
213,BCALM2,Bacillus_subtilis,145596,2013,60
214,BCALM2,Bacillus_subtilis,145708,2787,60
215,BCALM2,Bacillus_subtilis,145889,1453,60
216,BCALM2,Bacillus_subtilis,145912,1790,60
217,BCALM2,Bacillus_subtilis,146100,1199,60
218,BCALM2,Bacillus_subtilis,146136,1194,60
219,BCALM2,Bacillus_subtilis,146282,1187,60
220,BCALM2,Bacillus_subtilis,146405,4934,60
221,BCALM2,Bacillus_subtilis,146484,1374,60
222,BCALM2,Bacillus_subtilis,146520,4839,60
223,BCALM2,Bacillus_subtilis,146702,1029,60
224,BCALM2,Bacillus_subtilis,146781,2076,60
225,BCALM2,Bacillus_subtilis,146784,1885,60
226,BCALM2,Bacillus_subtilis,146850,1795,60
227,BCALM2,Bacillus_subtilis,146899,2754,60
228,BCALM2,Bacillus_subtilis,147004,1442,60
229,BCALM2,Bacillus_subtilis,147121,4719,60
230,BCALM2,Bacillus_subtilis,147124,2603,60
231,BCALM2,Bacillus_subtilis,147182,1266,60
232,BCALM2,Bacillus_subtilis,147205,1695,60
233,BCALM2,Bacillus_subtilis,147261,2402,60
234,BCALM2,Bacillus_subtilis,147324,5337,60
235,BCALM2,Bacillus_subtilis,147347,4457,60
236,BCALM2,Bacillus_subtilis,147470,1132,60
237,BCALM2,Bacillus_subtilis,147631,2307,60
238,BCALM2,Bacillus_subtilis,147684,1344,60
239,BCALM2,Bacillus_subtilis,147711,1468,60
240,BCALM2,Bacillus_subtilis,147732,1231,60
241,BCALM2,Bacillus_subtilis,147872,1237,60
242,BCALM2,Bacillus_subtilis,147956,2040,60
243,BCALM2,Bacillus_subtilis,148149,2974,60
244,BCALM2,Bacillus_subtilis,148334,1034,60
245,BCALM2,Bacillus_subtilis,148596,2370,60
246,BCALM2,Bacillus_subtilis,148775,1101,60
247,BCALM2,Bacillus_subtilis,148960,2381,60
248,BCALM2,Bacillus_subtilis,149373,2130,60
249,BCALM2,Bacillus_subtilis,149476,4135,60
250,BCALM2,Bacillus_subtilis,149627,1583,60
251,BCALM2,Bacillus_subtilis,149801,1353,60
252,BCALM2,Bacillus_subtilis,149841,1304,60
253,BCALM2,Bacillus_subtilis,149905,1802,60
254,BCALM2,Bacillus_subtilis,150074,1991,60
255,BCALM2,Bacillus_subtilis,150087,1212,60
256,BCALM2,Bacillus_subtilis,150096,1043,60
257,BCALM2,Bacillus_subtilis,150247,1166,60
258,BCALM2,Bacillus_subtilis,150253,1863,60
259,BCALM2,Bacillus_subtilis,150263,1503,60
260,BCALM2,Bacillus_subtilis,150265,1949,60
261,BCALM2,Bacillus_subtilis,150268,3259,60
262,BCALM2,Bacillus_subtilis,150444,1915,60
263,BCALM2,Bacillus_subtilis,150673,1917,60
264,BCALM2,Bacillus_subtilis,150973,1516,60
265,BCALM2,Bacillus_subtilis,151260,2457,60
266,BCALM2,Bacillus_subtilis,151436,2405,60
267,BCALM2,Bacillus_subtilis,151529,1022,60
268,BCALM2,Bacillus_subtilis,151823,4651,60
269,BCALM2,Bacillus_subtilis,151880,1943,60
270,BCALM2,Bacillus_subtilis,151969,5953,60
271,BCALM2,Bacillus_subtilis,151989,1269,60
272,BCALM2,Bacillus_subtilis,152112,1917,60
273,BCALM2,Bacillus_subtilis,152244,1018,60
274,BCALM2,Bacillus_subtilis,152307,3782,60
275,BCALM2,Bacillus_subtilis,152574,1038,60
276,BCALM2,Bacillus_subtilis,152586,2698,60
277,BCALM2,Bacillus_subtilis,152688,1326,60
278,BCALM2,Bacillus_subtilis,153201,1734,60
279,BCALM2,Bacillus_subtilis,153470,2061,60
280,BCALM2,Bacillus_subtilis,153476,1977,60
281,BCALM2,Bacillus_subtilis,153659,1094,60
282,BCALM2,Bacillus_subtilis,153851,2980,60
