,Assembler,Reference,Contig,Contig Length,Phred Quality Score
39,MEGAHIT,Enterococcus_faecalis,k141_680,91864,60.0
40,MEGAHIT,Enterococcus_faecalis,k141_382,1650,60.0
41,MEGAHIT,Enterococcus_faecalis,k141_701,123702,60.0
42,MEGAHIT,Enterococcus_faecalis,k141_717,1816,11.799345981374419
43,MEGAHIT,Enterococcus_faecalis,k141_1019,25095,60.0
44,MEGAHIT,Enterococcus_faecalis,k141_1026,23155,60.0
45,MEGAHIT,Enterococcus_faecalis,k141_1044,13528,60.0
46,MEGAHIT,Enterococcus_faecalis,k141_749,16452,21.15848155719575
47,MEGAHIT,Enterococcus_faecalis,k141_1056,267958,60.0
48,MEGAHIT,Enterococcus_faecalis,k141_1067,157782,60.0
49,MEGAHIT,Enterococcus_faecalis,k141_439,264260,38.53829706586517
50,MEGAHIT,Enterococcus_faecalis,k141_512,56879,60.0
51,MEGAHIT,Enterococcus_faecalis,k141_1143,667764,60.0
52,MEGAHIT,Enterococcus_faecalis,k141_521,1514,60.0
53,MEGAHIT,Enterococcus_faecalis,k141_522,1841,60.0
54,MEGAHIT,Enterococcus_faecalis,k141_563,1295,60.0
55,MEGAHIT,Escherichia_coli_plasmid,k141_328,110148,45.648553611857054
56,MEGAHIT,Escherichia_coli,k141_304,2388,60.0
57,MEGAHIT,Escherichia_coli,k141_311,25860,60.0
58,MEGAHIT,Escherichia_coli,k141_592,70610,60.0
59,MEGAHIT,Escherichia_coli,k141_24,4080,60.0
60,MEGAHIT,Escherichia_coli,k141_593,18911,60.0
61,MEGAHIT,Escherichia_coli,k141_313,81127,60.0
62,MEGAHIT,Escherichia_coli,k141_33,9779,60.0
63,MEGAHIT,Escherichia_coli,k141_34,13075,60.0
64,MEGAHIT,Escherichia_coli,k141_317,23526,22.16212055218792
65,MEGAHIT,Escherichia_coli,k141_59,2431,60.0
66,MEGAHIT,Escherichia_coli,k141_596,37842,60.0
67,MEGAHIT,Escherichia_coli,k141_70,4062,60.0
68,MEGAHIT,Escherichia_coli,k141_622,5041,60.0
69,MEGAHIT,Escherichia_coli,k141_624,42212,60.0
70,MEGAHIT,Escherichia_coli,k141_334,102134,60.0
71,MEGAHIT,Escherichia_coli,k141_335,9895,60.0
72,MEGAHIT,Escherichia_coli,k141_337,2982,60.0
73,MEGAHIT,Escherichia_coli,k141_100,60158,60.0
74,MEGAHIT,Escherichia_coli,k141_101,3342,60.0
75,MEGAHIT,Escherichia_coli,k141_906,117354,60.0
76,MEGAHIT,Escherichia_coli,k141_107,3496,19.10102968382779
77,MEGAHIT,Escherichia_coli,k141_907,55046,60.0
78,MEGAHIT,Escherichia_coli,k141_347,1208,24.800069429571483
79,MEGAHIT,Escherichia_coli,k141_349,6152,60.0
80,MEGAHIT,Escherichia_coli,k141_108,59365,26.663205024910404
81,MEGAHIT,Escherichia_coli,k141_350,8075,60.0
82,MEGAHIT,Escherichia_coli,k141_110,2561,60.0
83,MEGAHIT,Escherichia_coli,k141_111,6064,60.0
84,MEGAHIT,Escherichia_coli,k141_351,21948,60.0
85,MEGAHIT,Escherichia_coli,k141_122,4567,60.0
86,MEGAHIT,Escherichia_coli,k141_123,3781,14.738029564065782
87,MEGAHIT,Escherichia_coli,k141_132,2544,60.0
88,MEGAHIT,Escherichia_coli,k141_141,2035,60.0
89,MEGAHIT,Escherichia_coli,k141_631,1232,60.0
90,MEGAHIT,Escherichia_coli,k141_918,1135,60.0
91,MEGAHIT,Escherichia_coli,k141_169,8753,60.0
92,MEGAHIT,Escherichia_coli,k141_180,32026,60.0
93,MEGAHIT,Escherichia_coli,k141_184,33255,60.0
94,MEGAHIT,Escherichia_coli,k141_633,138620,60.0
95,MEGAHIT,Escherichia_coli,k141_190,24535,60.0
96,MEGAHIT,Escherichia_coli,k141_640,33899,39.28126895639537
97,MEGAHIT,Escherichia_coli,k141_926,62907,60.0
98,MEGAHIT,Escherichia_coli,k141_648,27361,60.0
99,MEGAHIT,Escherichia_coli,k141_936,2368,60.0
100,MEGAHIT,Escherichia_coli,k141_944,50229,47.009545319547776
101,MEGAHIT,Escherichia_coli,k141_197,112863,60.0
102,MEGAHIT,Escherichia_coli,k141_218,44564,60.0
103,MEGAHIT,Escherichia_coli,k141_219,1002,60.0
104,MEGAHIT,Escherichia_coli,k141_220,1002,60.0
105,MEGAHIT,Escherichia_coli,k141_225,8812,60.0
106,MEGAHIT,Escherichia_coli,k141_357,70191,60.0
107,MEGAHIT,Escherichia_coli,k141_227,16943,60.0
108,MEGAHIT,Escherichia_coli,k141_238,31723,60.0
109,MEGAHIT,Escherichia_coli,k141_658,128600,60.0
110,MEGAHIT,Escherichia_coli,k141_960,181367,60.0
111,MEGAHIT,Escherichia_coli,k141_244,30409,44.83002138604739
112,MEGAHIT,Escherichia_coli,k141_369,73102,60.0
113,MEGAHIT,Escherichia_coli,k141_676,1518,60.0
114,MEGAHIT,Escherichia_coli,k141_677,1587,21.213956807072254
115,MEGAHIT,Escherichia_coli,k141_250,6996,60.0
116,MEGAHIT,Escherichia_coli,k141_252,1186,60.0
117,MEGAHIT,Escherichia_coli,k141_257,13956,60.0
118,MEGAHIT,Escherichia_coli,k141_258,5190,60.0
119,MEGAHIT,Escherichia_coli,k141_261,2610,60.0
120,MEGAHIT,Escherichia_coli,k141_274,21342,60.0
121,MEGAHIT,Escherichia_coli,k141_383,53522,60.0
122,MEGAHIT,Escherichia_coli,k141_984,12406,20.002100916667132
123,MEGAHIT,Escherichia_coli,k141_698,46381,60.0
124,MEGAHIT,Escherichia_coli,k141_384,170291,35.68433864116448
125,MEGAHIT,Escherichia_coli,k141_991,145399,0.011844320730014984
126,MEGAHIT,Escherichia_coli,k141_995,4247,60.0
127,MEGAHIT,Escherichia_coli,k141_1013,22833,60.0
128,MEGAHIT,Escherichia_coli,k141_1014,66485,60.0
129,MEGAHIT,Escherichia_coli,k141_715,15531,60.0
130,MEGAHIT,Escherichia_coli,k141_718,18140,60.0
131,MEGAHIT,Escherichia_coli,k141_731,56880,60.0
132,MEGAHIT,Escherichia_coli,k141_1027,74651,60.0
133,MEGAHIT,Escherichia_coli,k141_734,27336,60.0
134,MEGAHIT,Escherichia_coli,k141_738,184109,60.0
135,MEGAHIT,Escherichia_coli,k141_754,108814,60.0
136,MEGAHIT,Escherichia_coli,k141_756,4554,60.0
137,MEGAHIT,Escherichia_coli,k141_405,44477,60.0
138,MEGAHIT,Escherichia_coli,k141_407,5792,60.0
139,MEGAHIT,Escherichia_coli,k141_412,1102,60.0
140,MEGAHIT,Escherichia_coli,k141_1073,4521,60.0
141,MEGAHIT,Escherichia_coli,k141_414,12969,60.0
142,MEGAHIT,Escherichia_coli,k141_420,15376,60.0
143,MEGAHIT,Escherichia_coli,k141_423,3291,60.0
144,MEGAHIT,Escherichia_coli,k141_427,62611,60.0
145,MEGAHIT,Escherichia_coli,k141_763,164651,3.76326503691491
146,MEGAHIT,Escherichia_coli,k141_428,45610,28.666683827426947
147,MEGAHIT,Escherichia_coli,k141_433,20500,60.0
148,MEGAHIT,Escherichia_coli,k141_434,37189,60.0
149,MEGAHIT,Escherichia_coli,k141_1081,60439,60.0
150,MEGAHIT,Escherichia_coli,k141_766,44706,60.0
151,MEGAHIT,Escherichia_coli,k141_438,88313,60.0
152,MEGAHIT,Escherichia_coli,k141_1082,67272,60.0
153,MEGAHIT,Escherichia_coli,k141_450,3938,60.0
154,MEGAHIT,Escherichia_coli,k141_811,5069,60.0
155,MEGAHIT,Escherichia_coli,k141_813,144601,60.0
156,MEGAHIT,Escherichia_coli,k141_815,61067,60.0
157,MEGAHIT,Escherichia_coli,k141_819,1979,60.0
158,MEGAHIT,Escherichia_coli,k141_820,56438,60.0
159,MEGAHIT,Escherichia_coli,k141_821,9868,60.0
160,MEGAHIT,Escherichia_coli,k141_822,6710,60.0
161,MEGAHIT,Escherichia_coli,k141_833,2582,60.0
162,MEGAHIT,Escherichia_coli,k141_841,97125,60.0
163,MEGAHIT,Escherichia_coli,k141_1136,283741,60.0
164,MEGAHIT,Escherichia_coli,k141_1141,8678,60.0
165,MEGAHIT,Escherichia_coli,k141_469,16228,60.0
166,MEGAHIT,Escherichia_coli,k141_479,31750,60.0
167,MEGAHIT,Escherichia_coli,k141_480,1149,60.0
168,MEGAHIT,Escherichia_coli,k141_850,1176,60.0
169,MEGAHIT,Escherichia_coli,k141_853,2900,60.0
170,MEGAHIT,Escherichia_coli,k141_859,14811,60.0
171,MEGAHIT,Escherichia_coli,k141_482,2094,60.0
172,MEGAHIT,Escherichia_coli,k141_861,44558,60.0
173,MEGAHIT,Escherichia_coli,k141_485,93686,60.0
174,MEGAHIT,Escherichia_coli,k141_495,17229,60.0
175,MEGAHIT,Escherichia_coli,k141_508,7434,60.0
176,MEGAHIT,Escherichia_coli,k141_514,2754,60.0
177,MEGAHIT,Escherichia_coli,k141_524,14274,60.0
178,MEGAHIT,Escherichia_coli,k141_529,59654,60.0
179,MEGAHIT,Escherichia_coli,k141_530,1221,60.0
180,MEGAHIT,Escherichia_coli,k141_1167,75413,60.0
181,MEGAHIT,Escherichia_coli,k141_539,3862,60.0
182,MEGAHIT,Escherichia_coli,k141_551,50355,60.0
183,MEGAHIT,Escherichia_coli,k141_556,14587,60.0
184,MEGAHIT,Escherichia_coli,k141_562,1774,60.0
185,MEGAHIT,Escherichia_coli,k141_564,17669,60.0
186,MEGAHIT,Escherichia_coli,k141_565,1095,60.0
187,MEGAHIT,Escherichia_coli,k141_566,8147,60.0
188,MEGAHIT,Escherichia_coli,k141_580,12618,60.0
189,MEGAHIT,Lactobacillus_fermentum,k141_0,18869,42.7574888447942
190,MEGAHIT,Lactobacillus_fermentum,k141_46,1238,60.0
191,MEGAHIT,Lactobacillus_fermentum,k141_47,1843,60.0
192,MEGAHIT,Lactobacillus_fermentum,k141_64,7894,60.0
193,MEGAHIT,Lactobacillus_fermentum,k141_893,87472,60.0
194,MEGAHIT,Lactobacillus_fermentum,k141_895,67648,60.0
195,MEGAHIT,Lactobacillus_fermentum,k141_69,3972,29.96949248495369
196,MEGAHIT,Lactobacillus_fermentum,k141_607,3260,60.0
197,MEGAHIT,Lactobacillus_fermentum,k141_609,14201,60.0
198,MEGAHIT,Lactobacillus_fermentum,k141_76,32514,60.0
199,MEGAHIT,Lactobacillus_fermentum,k141_79,6515,60.0
200,MEGAHIT,Lactobacillus_fermentum,k141_610,46932,60.0
201,MEGAHIT,Lactobacillus_fermentum,k141_80,1924,60.0
202,MEGAHIT,Lactobacillus_fermentum,k141_611,29974,36.9859345258908
203,MEGAHIT,Lactobacillus_fermentum,k141_84,52972,60.0
204,MEGAHIT,Lactobacillus_fermentum,k141_87,19148,60.0
205,MEGAHIT,Lactobacillus_fermentum,k141_91,40728,60.0
206,MEGAHIT,Lactobacillus_fermentum,k141_619,8469,60.0
207,MEGAHIT,Lactobacillus_fermentum,k141_333,2755,31.39091607523794
208,MEGAHIT,Lactobacillus_fermentum,k141_338,114884,60.0
209,MEGAHIT,Lactobacillus_fermentum,k141_117,1261,60.0
210,MEGAHIT,Lactobacillus_fermentum,k141_133,1651,10.90642274897986
211,MEGAHIT,Lactobacillus_fermentum,k141_143,16285,60.0
212,MEGAHIT,Lactobacillus_fermentum,k141_144,2297,60.0
213,MEGAHIT,Lactobacillus_fermentum,k141_154,1519,60.0
214,MEGAHIT,Lactobacillus_fermentum,k141_912,29336,60.0
215,MEGAHIT,Lactobacillus_fermentum,k141_160,99328,60.0
216,MEGAHIT,Lactobacillus_fermentum,k141_916,29179,60.0
217,MEGAHIT,Lactobacillus_fermentum,k141_636,1394,60.0
218,MEGAHIT,Lactobacillus_fermentum,k141_186,46241,60.0
219,MEGAHIT,Lactobacillus_fermentum,k141_187,20561,60.0
220,MEGAHIT,Lactobacillus_fermentum,k141_925,3631,60.0
221,MEGAHIT,Lactobacillus_fermentum,k141_638,45485,32.961403630291606
222,MEGAHIT,Lactobacillus_fermentum,k141_945,121959,60.0
223,MEGAHIT,Lactobacillus_fermentum,k141_210,1215,60.0
224,MEGAHIT,Lactobacillus_fermentum,k141_212,12060,60.0
225,MEGAHIT,Lactobacillus_fermentum,k141_214,1343,60.0
226,MEGAHIT,Lactobacillus_fermentum,k141_215,41762,60.0
227,MEGAHIT,Lactobacillus_fermentum,k141_654,40584,60.0
228,MEGAHIT,Lactobacillus_fermentum,k141_656,1902,60.0
229,MEGAHIT,Lactobacillus_fermentum,k141_675,77823,60.0
230,MEGAHIT,Lactobacillus_fermentum,k141_254,37577,60.0
231,MEGAHIT,Lactobacillus_fermentum,k141_275,8184,60.0
232,MEGAHIT,Lactobacillus_fermentum,k141_684,11426,60.0
233,MEGAHIT,Lactobacillus_fermentum,k141_378,11472,60.0
234,MEGAHIT,Lactobacillus_fermentum,k141_983,10832,60.0
235,MEGAHIT,Lactobacillus_fermentum,k141_705,1286,60.0
236,MEGAHIT,Lactobacillus_fermentum,k141_727,20985,60.0
237,MEGAHIT,Lactobacillus_fermentum,k141_728,5677,16.07990858547175
238,MEGAHIT,Lactobacillus_fermentum,k141_398,1992,60.0
239,MEGAHIT,Lactobacillus_fermentum,k141_1051,1619,60.0
240,MEGAHIT,Lactobacillus_fermentum,k141_746,40564,60.0
241,MEGAHIT,Lactobacillus_fermentum,k141_1052,3088,60.0
242,MEGAHIT,Lactobacillus_fermentum,k141_748,3466,60.0
243,MEGAHIT,Lactobacillus_fermentum,k141_1057,63509,48.0283527447903
244,MEGAHIT,Lactobacillus_fermentum,k141_1075,8931,60.0
245,MEGAHIT,Lactobacillus_fermentum,k141_1076,14793,60.0
246,MEGAHIT,Lactobacillus_fermentum,k141_778,33711,60.0
247,MEGAHIT,Lactobacillus_fermentum,k141_1095,13179,60.0
248,MEGAHIT,Lactobacillus_fermentum,k141_1109,14868,60.0
249,MEGAHIT,Lactobacillus_fermentum,k141_836,2464,60.0
250,MEGAHIT,Lactobacillus_fermentum,k141_1122,36328,60.0
251,MEGAHIT,Lactobacillus_fermentum,k141_837,16734,60.0
252,MEGAHIT,Lactobacillus_fermentum,k141_839,14628,60.0
253,MEGAHIT,Lactobacillus_fermentum,k141_1135,4554,60.0
254,MEGAHIT,Lactobacillus_fermentum,k141_507,33931,60.0
255,MEGAHIT,Lactobacillus_fermentum,k141_509,3464,60.0
256,MEGAHIT,Lactobacillus_fermentum,k141_1148,5220,60.0
257,MEGAHIT,Lactobacillus_fermentum,k141_1154,28185,60.0
258,MEGAHIT,Lactobacillus_fermentum,k141_1156,24411,60.0
259,MEGAHIT,Lactobacillus_fermentum,k141_525,8970,60.0
260,MEGAHIT,Lactobacillus_fermentum,k141_550,9063,60.0
261,MEGAHIT,Lactobacillus_fermentum,k141_1175,63868,60.0
262,MEGAHIT,Lactobacillus_fermentum,k141_559,81504,60.0
263,MEGAHIT,Lactobacillus_fermentum,k141_560,3025,60.0
264,MEGAHIT,Lactobacillus_fermentum,k141_575,3200,60.0
265,MEGAHIT,Listeria_monocytogenes,k141_8,1061,60.0
266,MEGAHIT,Listeria_monocytogenes,k141_17,3877,60.0
267,MEGAHIT,Listeria_monocytogenes,k141_18,1513,60.0
268,MEGAHIT,Listeria_monocytogenes,k141_352,447850,60.0
269,MEGAHIT,Listeria_monocytogenes,k141_354,632292,60.0
270,MEGAHIT,Listeria_monocytogenes,k141_657,99832,60.0
271,MEGAHIT,Listeria_monocytogenes,k141_957,3160,60.0
272,MEGAHIT,Listeria_monocytogenes,k141_1022,232581,60.0
273,MEGAHIT,Listeria_monocytogenes,k141_397,2318,22.85932185579948
274,MEGAHIT,Listeria_monocytogenes,k141_1096,254617,60.0
275,MEGAHIT,Listeria_monocytogenes,k141_845,137256,33.59380087874629
276,MEGAHIT,Listeria_monocytogenes,k141_497,1912,29.80457892276105
