task_id	hash	process	tag	status	exit	start	container	cpus	time	disk	memory	duration	realtime	queue	%cpu	%mem	rss	vmem	rchar	wchar
166	28/fec688	READ_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:10:07.571	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	5m 50s	5m 43s	-	163.2%	1.9%	2.4 GB	3.2 GB	3.5 GB	2.1 GB
188	a9/e25941	ASSEMBLY_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:15:37.606	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	19.9s	16.2s	-	309.0%	0.6%	733 MB	1 GB	117.8 MB	158.1 KB
189	7d/1dbdb2	ASSEMBLY_STATS_GLOBAL	SKESA	COMPLETED	0	2021-08-01 00:15:57.580	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	1.7s	-	123.3%	0.0%	44.7 MB	470.7 MB	36.6 MB	912 B
193	3a/c00284	SNP_ASSESSMENT	SKESA	COMPLETED	0	2021-08-01 00:15:57.630	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9.8s	4.9s	-	68.0%	0.1%	109.3 MB	549.9 MB	98.2 MB	19.9 KB
192	44/0cc2be	MISASSEMBLY	SKESA	COMPLETED	0	2021-08-01 00:15:57.633	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9.8s	2.7s	-	90.3%	0.1%	72.1 MB	490.3 MB	13.8 MB	1.2 KB
191	a6/02417c	GAP_ASSESSMENT	SKESA	COMPLETED	0	2021-08-01 00:15:57.622	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	34.9s	27.7s	-	94.8%	0.3%	369.6 MB	813 MB	98.2 MB	57.2 KB
21	e0/4c3c8c	MINIA	LHS	COMPLETED	0	2021-07-31 23:44:47.345	docker:cimendes/minia:3.2.4-1	4	-	-	16 GB	32m 8s	31m 58s	-	454.9%	5.7%	7.2 GB	12.4 GB	39 GB	16.8 GB
190	37/51b6b3	ASSEMBLY_STATS_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:15:57.626	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	1m 5s	57.7s	-	98.5%	0.5%	598.1 MB	1.1 GB	127.6 MB	126.8 KB
194	2e/0f3277	FILTER_ASSEMBLY	MINIA	COMPLETED	0	2021-08-01 00:16:57.727	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	5.1s	1.1s	-	130.7%	0.0%	10.6 MB	55.5 MB	19.7 MB	12.6 MB
196	c2/88d02a	ASSEMBLY_MAPPING	MINIA	COMPLETED	0	2021-08-01 00:17:02.599	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	14.8s	9.9s	-	255.8%	0.5%	692.6 MB	1.2 GB	101.2 MB	369.8 KB
197	0c/de67c0	SNP_ASSESSMENT	MINIA	COMPLETED	0	2021-08-01 00:17:17.599	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	2.9s	-	84.4%	0.1%	85 MB	536.9 MB	100.7 MB	9.1 KB
113	4e/dc6b01	READ_MAPPING	BCALM2	COMPLETED	0	2021-07-31 23:54:07.392	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	23m 20s	23m 14s	-	155.5%	1.2%	3 GB	3.7 GB	16.6 GB	8.8 GB
199	b1/fa7eed	MISASSEMBLY	MINIA	COMPLETED	0	2021-08-01 00:17:17.647	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9.8s	3.3s	-	105.2%	0.1%	68 MB	486.6 MB	14 MB	1.1 KB
201	2d/17274f	ASSEMBLY_STATS_GLOBAL	BCALM2	COMPLETED	0	2021-08-01 00:17:27.590	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	1.1s	-	130.1%	0.0%	8.3 MB	11.5 MB	28.4 MB	917 B
200	8a/6e4f6c	GAP_ASSESSMENT	MINIA	COMPLETED	0	2021-08-01 00:17:17.595	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	24.9s	19.1s	-	101.7%	0.4%	546.9 MB	991.2 MB	100.6 MB	100.9 KB
198	10/aa94db	ASSEMBLY_STATS_MAPPING	MINIA	COMPLETED	0	2021-08-01 00:17:17.644	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	54.9s	52.8s	-	98.9%	0.3%	329.5 MB	770.9 MB	113.7 MB	230 KB
173	88/e54ec7	READ_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:12:17.579	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	6m 35s	6m 28s	-	153.9%	1.9%	2.4 GB	3.1 GB	5.8 GB	2.1 GB
202	90/2a03f0	ASSEMBLY_STATS_GLOBAL	SKESA	COMPLETED	0	2021-08-01 00:18:52.606	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	1.7s	-	124.3%	0.0%	43.7 MB	468.8 MB	36.6 MB	913 B
35	65/f27b9e	METASPADES	ENN	COMPLETED	0	2021-07-31 23:44:47.367	docker:cimendes/spades:3.15.0-1	4	-	-	16 GB	34m 18s	34m 7s	-	308.7%	1.9%	2.4 GB	3.3 GB	12.5 GB	12.1 GB
180	6a/17f570	READ_MAPPING	SPAdes	COMPLETED	0	2021-08-01 00:13:27.578	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	5m 45s	5m 39s	-	161.0%	1.9%	2.5 GB	3.2 GB	3.8 GB	2.4 GB
203	d9/8d8bba	FILTER_ASSEMBLY	metaSPAdes	COMPLETED	0	2021-08-01 00:19:07.640	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	5s	1.2s	-	110.5%	0.0%	11.4 MB	55.5 MB	32.9 MB	29.4 MB
205	26/0f7f01	ASSEMBLY_STATS_GLOBAL	SPAdes	COMPLETED	0	2021-08-01 00:19:12.612	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.9s	2s	-	120.9%	0.0%	43.5 MB	468.3 MB	37.3 MB	921 B
206	a1/5cc932	ASSEMBLY_MAPPING	metaSPAdes	COMPLETED	0	2021-08-01 00:19:12.642	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	25.2s	20.6s	-	314.6%	0.6%	812.5 MB	1.2 GB	118 MB	90.8 KB
207	ce/6d0e93	MISASSEMBLY	metaSPAdes	COMPLETED	0	2021-08-01 00:19:37.604	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	9.6s	2.8s	-	97.1%	0.1%	68.2 MB	486.3 MB	13.8 MB	1.6 KB
209	18/b3f326	SNP_ASSESSMENT	metaSPAdes	COMPLETED	0	2021-08-01 00:19:37.610	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	19.6s	13.6s	-	79.7%	0.1%	110.7 MB	551.6 MB	97.4 MB	121.2 KB
210	d8/19e958	GAP_ASSESSMENT	metaSPAdes	COMPLETED	0	2021-08-01 00:19:37.606	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	29.6s	25.7s	-	98.4%	0.3%	380.7 MB	823.7 MB	97.4 MB	18.3 KB
208	b1/43cbf9	ASSEMBLY_STATS_MAPPING	metaSPAdes	COMPLETED	0	2021-08-01 00:19:37.601	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	49.7s	46.9s	-	100.8%	0.3%	347.6 MB	789.3 MB	126.9 MB	81.8 KB
187	9d/e22d45	READ_MAPPING	SKESA	COMPLETED	0	2021-08-01 00:15:32.610	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	5m 35s	5m 33s	-	160.0%	1.9%	2.5 GB	3.2 GB	5.6 GB	1.9 GB
211	d7/12287e	ASSEMBLY_STATS_GLOBAL	SKESA	COMPLETED	0	2021-08-01 00:21:07.635	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	5s	1.8s	-	120.2%	0.0%	43.1 MB	468.3 MB	36.8 MB	940 B
137	7c/b78fe1	READ_MAPPING	MINIA	COMPLETED	0	2021-08-01 00:02:37.453	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	19m 20s	19m 14s	-	172.8%	2.2%	2.9 GB	3.5 GB	16.5 GB	8.7 GB
212	16/359d3a	ASSEMBLY_STATS_GLOBAL	MINIA	COMPLETED	0	2021-08-01 00:21:57.642	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	5s	2s	-	112.9%	0.0%	39.4 MB	456.6 MB	24.1 MB	915 B
76	ac/bf48e3	IDBA	LHS	FAILED	0	2021-07-31 23:49:42.337	docker:cimendes/idba:1.1.3-1	4	-	-	16 GB	33m 30s	33m 27s	-	324.9%	6.3%	16 GB	16.3 GB	13.1 GB	6.3 GB
58	78/2b6a43	VELVETOPTIMIZER	LNN	FAILED	0	2021-07-31 23:44:47.469	docker:cimendes/velvetoptimiser:2.2.6-1	4	-	-	16 GB	38m 27s	38m 16s	-	133.5%	6.4%	16 GB	20 GB	115.3 GB	54.4 GB
31	c0/a329b1	MEGAHIT	EMS	COMPLETED	0	2021-07-31 23:44:47.369	docker:cimendes/megahit-assembler:1.2.9-1	4	-	-	16 GB	39m 13s	39m 3s	-	339.5%	1.6%	2.1 GB	2.2 GB	20.4 GB	7.9 GB
215	05/6f15af	FILTER_ASSEMBLY	MEGAHIT	COMPLETED	0	2021-08-01 00:24:02.655	docker:pcerqueira/bbtools:38.44	4	-	-	8 GB	5s	1.2s	-	103.3%	0.0%	12.3 MB	126.8 MB	32.6 MB	29.4 MB
217	d7/5ec6f5	ASSEMBLY_MAPPING	MEGAHIT	COMPLETED	0	2021-08-01 00:24:07.647	docker:cimendes/minimap2:2.17-1	4	-	-	8 GB	24.9s	21.3s	-	321.3%	1.0%	1.2 GB	3.3 GB	118 MB	139.2 KB
219	c4/11d2a1	MISASSEMBLY	MEGAHIT	COMPLETED	0	2021-08-01 00:24:32.639	docker:cimendes/lmas-python-base:0.1	4	-	-	8 GB	4.8s	2.6s	-	116.2%	0.1%	73.8 MB	492 MB	13.8 MB	5.2 KB
204	37/9c4b1b	READ_MAPPING	metaSPAdes	COMPLETED	0	2021-08-01 00:19:07.659	docker:cimendes/minimap2:2.17.2	4	-	-	20 GB	5m 55s	5m 51s	-	151.5%	1.9%	2.4 GB	3.2 GB	3.8 GB	2.4 GB
