,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
117,LHS,Unicycler,Bacillus_subtilis,4045677.0,2374847,2374933
118,LHS,Unicycler,Bacillus_subtilis,4045677.0,2382663,2382778
119,LHS,Unicycler,Bacillus_subtilis,4045677.0,2441416,2441515
120,LHS,Unicycler,Bacillus_subtilis,4045677.0,2576654,2576754
121,LHS,Unicycler,Bacillus_subtilis,4045677.0,2595690,2598664
122,LHS,Unicycler,Bacillus_subtilis,4045677.0,2625396,2625492
123,LHS,Unicycler,Bacillus_subtilis,4045677.0,2632699,2632812
124,LHS,Unicycler,Bacillus_subtilis,4045677.0,2664386,2664487
125,LHS,Unicycler,Bacillus_subtilis,4045677.0,2687404,2687505
126,LHS,Unicycler,Bacillus_subtilis,4045677.0,2761335,2761433
127,LHS,Unicycler,Bacillus_subtilis,4045677.0,2788776,2815037
128,LHS,Unicycler,Bacillus_subtilis,4045677.0,2855775,2855875
129,LHS,Unicycler,Bacillus_subtilis,4045677.0,2869697,2900178
130,LHS,Unicycler,Bacillus_subtilis,4045677.0,2904929,2904991
131,LHS,Unicycler,Bacillus_subtilis,4045677.0,2914055,2966673
132,LHS,Unicycler,Bacillus_subtilis,4045677.0,2975931,2976049
133,LHS,Unicycler,Bacillus_subtilis,4045677.0,2988228,2988320
134,LHS,Unicycler,Bacillus_subtilis,4045677.0,3014831,3014921
135,LHS,Unicycler,Bacillus_subtilis,4045677.0,3053733,3053770
136,LHS,Unicycler,Bacillus_subtilis,4045677.0,3066453,3066541
137,LHS,Unicycler,Bacillus_subtilis,4045677.0,3078141,3086014
138,LHS,Unicycler,Bacillus_subtilis,4045677.0,3130257,3130318
139,LHS,Unicycler,Bacillus_subtilis,4045677.0,3139108,3139203
140,LHS,Unicycler,Bacillus_subtilis,4045677.0,3149409,3149510
141,LHS,Unicycler,Bacillus_subtilis,4045677.0,3162967,3163753
142,LHS,Unicycler,Bacillus_subtilis,4045677.0,3173903,3174112
143,LHS,Unicycler,Bacillus_subtilis,4045677.0,3208934,3209031
144,LHS,Unicycler,Bacillus_subtilis,4045677.0,3249842,3249938
145,LHS,Unicycler,Bacillus_subtilis,4045677.0,3284419,3284527
146,LHS,Unicycler,Bacillus_subtilis,4045677.0,3305347,3305499
147,LHS,Unicycler,Bacillus_subtilis,4045677.0,3318647,3318723
148,LHS,Unicycler,Bacillus_subtilis,4045677.0,3342328,3342423
149,LHS,Unicycler,Bacillus_subtilis,4045677.0,3398124,3398219
150,LHS,Unicycler,Bacillus_subtilis,4045677.0,3404345,3409360
151,LHS,Unicycler,Bacillus_subtilis,4045677.0,3438544,3440111
152,LHS,Unicycler,Bacillus_subtilis,4045677.0,3465701,3469954
153,LHS,Unicycler,Bacillus_subtilis,4045677.0,3489497,3489616
154,LHS,Unicycler,Bacillus_subtilis,4045677.0,3526355,3527365
155,LHS,Unicycler,Bacillus_subtilis,4045677.0,3553556,3554574
156,LHS,Unicycler,Bacillus_subtilis,4045677.0,3574904,3574992
157,LHS,Unicycler,Bacillus_subtilis,4045677.0,3579401,3579493
158,LHS,Unicycler,Bacillus_subtilis,4045677.0,3589464,3589554
159,LHS,Unicycler,Bacillus_subtilis,4045677.0,3622146,3624465
160,LHS,Unicycler,Bacillus_subtilis,4045677.0,3684494,3684639
161,LHS,Unicycler,Bacillus_subtilis,4045677.0,3697244,3703217
162,LHS,Unicycler,Bacillus_subtilis,4045677.0,3710522,3710597
163,LHS,Unicycler,Bacillus_subtilis,4045677.0,3810553,3810641
164,LHS,Unicycler,Bacillus_subtilis,4045677.0,3874238,3874328
165,LHS,Unicycler,Bacillus_subtilis,4045677.0,3949773,3949843
166,LHS,Unicycler,Bacillus_subtilis,4045677.0,3958310,3958519
167,LHS,Unicycler,Bacillus_subtilis,4045677.0,3967889,3967975
168,LHS,Unicycler,Bacillus_subtilis,4045677.0,3972334,3972449
169,LHS,Unicycler,Bacillus_subtilis,4045677.0,3984164,3984260
170,LHS,Unicycler,Bacillus_subtilis,4045677.0,4002946,4006680
171,LHS,Unicycler,Bacillus_subtilis,4045677.0,4030253,4030332
172,LHS,Unicycler,Listeria_monocytogenes,2992342.0,351048,352415
173,LHS,Unicycler,Listeria_monocytogenes,2992342.0,1080798,1083115
174,LHS,Unicycler,Listeria_monocytogenes,2992342.0,1085179,1085231
175,LHS,Unicycler,Listeria_monocytogenes,2992342.0,1086709,1088108
176,LHS,Unicycler,Listeria_monocytogenes,2992342.0,1366399,1366854
177,LHS,Unicycler,Listeria_monocytogenes,2992342.0,1369673,1377511
178,LHS,Unicycler,Listeria_monocytogenes,2992342.0,1610198,1615655
179,LHS,Unicycler,Listeria_monocytogenes,2992342.0,2158451,2164536
180,LHS,Unicycler,Listeria_monocytogenes,2992342.0,2495416,2496008
181,LHS,Unicycler,Listeria_monocytogenes,2992342.0,2498222,2499032
182,LHS,Unicycler,Listeria_monocytogenes,2992342.0,2500262,2500623
183,LHS,Unicycler,Listeria_monocytogenes,2992342.0,2757011,2762164
184,LHS,Unicycler,Listeria_monocytogenes,2992342.0,2861691,2868212
185,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,332101,333255
186,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,421171,431033
187,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,495287,501393
188,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,754409,755792
189,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,926950,927017
190,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,945810,946674
191,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,1161977,1168785
192,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,1205337,1205348
193,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,1891022,1896160
194,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2291117,2291311
195,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2426318,2430305
196,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2475945,2475965
197,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2687452,2688011
198,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2718469,2737626
199,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2742726,2744499
200,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2758655,2759397
201,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2827824,2829323
202,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2835405,2842687
203,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2848301,2849253
204,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2852323,2854831
205,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2945780,2946027
206,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,2994100,2994462
207,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,3609191,3609249
208,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,3928059,3929502
209,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,3932163,3933034
210,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,3978791,3979475
211,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,4829495,4830694
212,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,4892318,4897987
213,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,4936049,4936167
214,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,4940148,4943018
215,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,5135905,5135957
216,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,5201371,5202235
217,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,5395821,5398683
218,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,5454206,5458899
219,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,5480843,5609943
220,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,6079323,6080521
221,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,6170604,6171049
222,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,6277262,6282766
223,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,6543568,6551064
224,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,6555966,6557797
225,LHS,Unicycler,Pseudomonas_aeruginosa,6792330.0,6618846,6618892
